F1@10,F1@25,F1@50,Edit,Acc,Avg,Name
0,0,0,0.0,0.0,0.0,P03_cam01_P03_cereals
0,0,0,0.0,0.0,0.0,P03_cam01_P03_coffee
0,0,0,0.0,0.0,0.0,P03_cam01_P03_friedegg
0,0,0,0.0,0.0,0.0,P03_cam01_P03_milk
0,0,0,0.0,0.0,0.0,P03_cam01_P03_salat
0,0,0,0.0,0.0,0.0,P03_cam01_P03_sandwich
0,0,0,0.0,0.0,0.0,P03_cam01_P03_tea
0,0,0,0.0,0.0,0.0,P03_stereo01_P03_cereals
0,0,0,0.0,0.0,0.0,P03_stereo01_P03_coffee
0,0,0,0.0,0.0,0.0,P03_stereo01_P03_milk
0,0,0,0.0,0.0,0.0,P03_stereo01_P03_sandwich
0,0,0,0.0,0.0,0.0,P03_stereo01_P03_tea
0,0,0,0.0,0.0,0.0,P03_webcam01_P03_cereals
0,0,0,0.0,0.0,0.0,P03_webcam01_P03_coffee
0,0,0,0.0,0.0,0.0,P03_webcam01_P03_friedegg
0,0,0,0.0,0.0,0.0,P03_webcam01_P03_milk
0,0,0,0.0,0.0,0.0,P03_webcam01_P03_salat
0,0,0,0.0,0.0,0.0,P03_webcam01_P03_sandwich
0,0,0,0.0,0.0,0.0,P03_webcam01_P03_tea
0,0,0,0.0,0.0,0.0,P03_webcam02_P03_cereals
0,0,0,0.0,0.0,0.0,P03_webcam02_P03_coffee
0,0,0,0.0,0.0,0.0,P03_webcam02_P03_friedegg
0,0,0,0.0,0.0,0.0,P03_webcam02_P03_milk
0,0,0,0.0,0.0,0.0,P03_webcam02_P03_salat
0,0,0,0.0,0.0,0.0,P03_webcam02_P03_sandwich
0,0,0,0.0,0.0,0.0,P03_webcam02_P03_tea
0,0,0,0.0,0.0,0.0,P04_cam01_P04_cereals
0,0,0,0.0,0.0,0.0,P04_cam01_P04_friedegg
0,0,0,0.0,0.0,0.0,P04_cam01_P04_milk
0,0,0,0.0,0.0,0.0,P04_cam01_P04_pancake
0,0,0,0.0,0.0,0.0,P04_cam01_P04_sandwich
0,0,0,0.0,0.0,0.0,P04_cam01_P04_scrambledegg
0,0,0,0.0,0.0,0.0,P04_cam01_P04_tea
0,0,0,0.0,0.0,0.0,P04_stereo01_P04_cereals
0,0,0,0.0,0.0,0.0,P04_stereo01_P04_friedegg
0,0,0,0.0,0.0,0.0,P04_stereo01_P04_milk
0,0,0,0.0,0.0,0.0,P04_stereo01_P04_pancake
0,0,0,0.0,0.0,0.0,P04_stereo01_P04_sandwich
0,0,0,0.0,0.0,0.0,P04_stereo01_P04_scrambledegg
0,0,0,0.0,0.0,0.0,P04_stereo01_P04_tea
0,0,0,0.0,0.0,0.0,P04_webcam01_P04_cereals
0,0,0,0.0,0.0,0.0,P04_webcam01_P04_friedegg
0,0,0,0.0,0.0,0.0,P04_webcam01_P04_milk
0,0,0,0.0,0.0,0.0,P04_webcam01_P04_pancake
0,0,0,0.0,0.0,0.0,P04_webcam01_P04_salat
0,0,0,0.0,0.0,0.0,P04_webcam01_P04_sandwich
0,0,0,0.0,0.0,0.0,P04_webcam01_P04_scrambledegg
0,0,0,0.0,0.0,0.0,P04_webcam01_P04_tea
0,0,0,0.0,0.0,0.0,P04_webcam02_P04_cereals
0,0,0,0.0,0.0,0.0,P04_webcam02_P04_friedegg
0,0,0,0.0,0.0,0.0,P04_webcam02_P04_milk
0,0,0,0.0,0.0,0.0,P04_webcam02_P04_pancake
0,0,0,0.0,0.0,0.0,P04_webcam02_P04_salat
